Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
1522821278,Buy Bitcoin, 11.38 ,0.000289,11/03/2022 07:22:44,11/03/2022 07:34:47,1, 0.23 ,(0.18)," 39,395.26 "," 38,787.64 "," 57,600.00 "," 32,800.00 ", 0.00 ,GS_Capital,Crypto,,
1327635781,Buy Cardano, 2.90 ,1.383588,29/09/2021 15:39:09,11/03/2022 07:34:47,1, 0.02 ,(1.80), 2.10 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1522821276,Sell SPX500 Index, 6.12 ,0.028656,11/03/2022 07:22:43,11/03/2022 07:34:47,20, 0.02 , 0.13 ," 4,271.36 "," 4,266.96 "," 4,070.00 "," 4,302.00 ", 0.00 ,GS_Capital,CFD,,
1522821277,Sell SPX500 Index, 5.10 ,0.011940,11/03/2022 07:22:44,11/03/2022 07:34:47,10, 0.01 , 0.05 ," 4,271.36 "," 4,266.96 "," 3,970.00 "," 4,302.00 ", 0.00 ,GS_Capital,CFD,,
1507881476,Sell SPX500 Index, 2.54 ,0.005859,25/02/2022 15:46:08,11/03/2022 07:34:47,10, 0.00 , 0.40 ," 4,335.12 "," 4,266.96 "," 3,970.00 "," 4,302.00 ",(0.02),GS_Capital,CFD,,
1522821275,Buy Cardano, 5.23 ,6.432173,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.10 ,(0.10), 0.81 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1522821274,Buy Cardano, 5.83 ,7.170090,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.12 ,(0.11), 0.81 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1515276976,Sell SPX500 Index, 3.04 ,0.014039,04/03/2022 09:04:54,11/03/2022 07:34:47,20, 0.01 , 0.90 ," 4,330.72 "," 4,266.96 "," 4,070.00 "," 4,302.00 ",(0.08),GS_Capital,CFD,,
1522821269,Buy Bitcoin, 5.83 ,0.000148,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.12 ,(0.09)," 39,395.26 "," 38,787.64 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1522821273,Buy Bitcoin, 5.23 ,0.000133,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.10 ,(0.08)," 39,395.26 "," 38,787.64 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1522821272,Buy Ethereum, 5.83 ,0.002225,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.12 ,(0.08)," 2,620.05 "," 2,582.28 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1327634016,Buy Bitcoin, 2.60 ,0.000062,29/09/2021 15:38:32,11/03/2022 07:34:47,1, 0.05 ,(0.20)," 41,953.06 "," 38,787.64 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1327634716,Buy Ethereum, 2.90 ,0.000994,29/09/2021 15:38:45,11/03/2022 07:34:47,1, 0.05 ,(0.33)," 2,917.18 "," 2,582.28 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1327635216,Buy Ethereum, 2.60 ,0.000892,29/09/2021 15:38:56,11/03/2022 07:34:47,1, 0.05 ,(0.30)," 2,913.91 "," 2,582.28 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1521822415,Buy Bitcoin, 11.24 ,0.000284,10/03/2022 09:39:15,11/03/2022 07:34:47,1, 0.22 ,(0.24)," 39,625.19 "," 38,787.64 "," 57,600.00 "," 32,800.00 ", 0.00 ,GS_Capital,Crypto,,
1522821270,Buy Ethereum, 5.23 ,0.001996,11/03/2022 07:22:43,11/03/2022 07:34:47,1, 0.10 ,(0.08)," 2,620.05 "," 2,582.28 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1518337308,Sell SPX500 Index, 3.11 ,0.014709,07/03/2022 19:38:28,11/03/2022 07:34:47,20, 0.01 ,(0.56)," 4,228.66 "," 4,266.96 "," 4,070.00 "," 4,302.00 ",(0.06),GS_Capital,CFD,,
1518337310,Sell SPX500 Index, 2.59 ,0.006125,07/03/2022 19:38:28,11/03/2022 07:34:47,10, 0.00 ,(0.23)," 4,228.66 "," 4,266.96 "," 3,970.00 "," 4,302.00 ", 0.00 ,GS_Capital,CFD,,
1308417115,Buy Sberbank of Russia, 1.07 ,0.060146,13/09/2021 10:59:31,09/03/2022 14:30:02,1, 0.00 ,(1.07), 17.79 , 0.05 , 0.00 , 0.00 , 0.00 ,Haukro,Stocks,US80585Y3080,
1308417113,Buy Severstal PAO, 1.03 ,0.045495,13/09/2021 10:59:31,09/03/2022 14:29:06,1, 0.00 ,(1.03), 22.64 , 0.03 , 0.00 , 0.00 , 0.05 ,Haukro,Stocks,US8181503025,
1308417107,Buy Gazprom OAO-ADR, 1.49 ,0.164823,13/09/2021 10:59:30,09/03/2022 14:23:28,1, 0.00 ,(1.41), 9.04 , 0.51 , 0.00 , 0.00 , 0.00 ,Haukro,Stocks,US3682872078,
1308417106,Buy Rosneft OAO, 1.03 ,0.137333,13/09/2021 10:59:30,09/03/2022 14:23:00,1, 0.00 ,(0.95), 7.50 , 0.56 , 0.00 , 0.00 , 0.03 ,Haukro,Stocks,US67812M2070,
1308417552,Buy MMC Norilsk Nickel OJSC-ADR, 1.56 ,0.046360,13/09/2021 11:00:47,09/03/2022 14:19:36,1, 0.00 ,(1.54), 33.65 , 0.40 , 0.00 , 0.01 , 0.08 ,Karlo_s,Stocks,US55315J1025,
1496800068,Buy Silver, 2.83 ,0.601872,15/02/2022 09:03:56,09/03/2022 13:33:11,5, 0.03 , 1.46 , 23.51 , 25.94 , 27.00 , 25.94 , 0.00 ,GS_Capital,CFD,,
1518337306,Buy Silver, 2.89 ,0.564233,07/03/2022 19:38:28,09/03/2022 13:33:11,5, 0.03 , 0.19 , 25.61 , 25.94 , 27.00 , 25.94 , 0.00 ,GS_Capital,CFD,,
1308419318,Buy Wirecard, 1.44 ,4.670325,13/09/2021 11:07:42,08/03/2022 14:54:53,1, 0.00 ,(1.09), 0.26 , 0.05 , 88.00 , 0.01 , 0.00 ,YVinvest,Stocks,DE0007472060,
1308670948,Buy Intel, 1.56 ,0.028613,13/09/2021 13:31:45,07/03/2022 14:31:20,1, 0.00 ,(0.17), 54.52 , 48.45 , 0.00 , 0.00 , 0.02 ,Karlo_s,Stocks,US4581401001,
1308670962,Buy Intel, 3.13 ,0.057410,13/09/2021 13:31:45,07/03/2022 14:31:20,1, 0.00 ,(0.35), 54.52 , 48.45 , 108.30 , 0.00 , 0.02 ,Karlo_s,Stocks,US4581401001,
